 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,307.610,16.329,0,49.752,4.003,20.048,114.173,706.402,0.093
2,1,1,311.656,15.353,0,49.618,3.974,19.952,113.746,702.324,0.196
3,1,2,314.825,14.990,0,49.488,3.989,20.142,115.839,723.345,0.144
4,1,3,317.963,14.420,0,49.284,3.953,19.895,114.327,714.785,0.189
5,1,4,320.406,14.527,0,49.125,3.969,19.788,112.259,691.936,0.100
6,1,5,324.170,12.753,0,49.294,3.961,19.889,113.795,707.289,0.138
7,1,6,327.695,13.381,0,49.445,4.054,20.584,118.538,739.967,0.102
8,2,0,359.391,63.531,0,49.234,3.990,20.002,113.997,705.206,0.235
9,2,1,363.191,61.911,0,49.274,4.021,20.214,114.952,707.349,0.205
10,2,2,365.749,62.167,0,49.210,3.995,19.950,113.471,702.840,0.395
11,2,3,369.918,62.075,0,49.729,4.061,20.822,121.348,767.275,0.100
12,2,4,372.163,61.197,0,49.593,4.016,20.091,114.228,706.068,0.201
13,2,5,376.199,60.147,0,49.675,4.034,20.111,113.655,697.866,0.165
14,2,6,378.644,60.528,0,49.163,3.981,19.943,113.691,703.874,0.225
15,2,7,382.722,59.557,0,49.673,3.971,19.973,114.231,708.389,0.196
16,2,8,385.906,59.302,0,49.604,3.974,20.080,115.759,725.550,0.333
17,2,9,389.237,59.343,0,49.819,3.987,20.038,114.352,707.462,0.168
18,2,10,392.529,59.514,0,49.596,3.975,19.966,113.844,702.828,0.178
19,2,11,395.729,59.564,0,49.556,3.982,19.904,113.282,700.928,0.201
20,2,12,398.957,61.052,0,49.595,4.060,20.909,123.086,789.484,0.147
21,2,13,402.210,59.662,0,49.707,3.996,20.072,114.767,713.067,0.204
22,2,14,405.490,60.935,0,49.473,4.110,20.674,117.136,718.266,0.181
23,2,15,408.659,59.414,0,49.623,3.990,19.897,112.786,694.649,0.093
24,2,16,411.896,59.293,0,49.556,4.002,20.046,114.545,713.757,0.198
25,2,17,415.141,59.081,0,49.604,4.020,20.262,115.732,716.345,0.100
26,2,18,418.484,60.234,0,49.699,4.044,20.553,118.516,740.460,0.167
27,3,0,181.027,164.207,0,49.576,4.040,20.326,116.565,729.225,0.116
28,3,1,184.117,165.215,0,49.628,4.023,20.278,116.312,725.530,0.101
29,3,2,187.243,166.090,0,49.659,4.031,20.548,118.914,744.976,0.100
30,3,3,191.414,166.238,0,49.556,4.009,19.969,112.870,692.884,0.214
31,3,4,194.616,166.954,0,49.607,4.056,20.174,113.479,693.175,0.249
32,3,5,197.532,168.907,0,49.108,4.039,20.638,119.927,755.397,0.100
33,3,6,200.729,169.466,0,49.403,4.026,20.292,116.044,719.864,0.180
34,3,7,204.121,168.697,0,49.983,3.994,20.162,115.792,721.903,0.100
35,3,8,207.375,169.326,0,49.649,3.994,20.092,114.649,708.442,0.319
36,3,9,209.583,170.636,0,49.557,3.991,20.016,114.094,705.555,0.245
37,3,10,213.478,172.075,0,49.167,4.024,20.462,118.350,742.307,0.103
38,3,11,216.891,171.372,0,49.593,4.000,19.980,113.633,703.495,0.246
