 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
39,3,12,220.046,171.924,0,49.389,4.069,20.439,116.551,723.938,0.101
40,3,13,223.243,172.531,0,49.464,4.002,20.060,114.248,706.410,0.159
41,3,14,225.505,173.693,0,49.664,4.002,20.142,115.144,713.661,0.246
42,3,15,223.034,174.220,0,49.840,3.993,20.265,117.384,739.463,0.142
43,3,16,219.871,173.892,0,49.696,4.043,20.250,115.140,712.104,0.210
44,3,17,216.696,172.321,0,49.372,4.081,20.567,117.113,722.481,0.102
45,3,18,213.417,172.413,0,49.629,4.060,20.489,116.973,723.424,0.181
46,3,19,210.149,172.609,0,49.756,4.053,20.601,118.851,743.918,0.100
47,3,20,207.070,174.306,0,49.252,4.005,20.255,117.089,738.230,0.141
48,3,21,203.938,174.866,0,49.482,4.014,20.208,116.369,732.804,0.164
49,3,22,200.476,173.713,0,49.728,4.045,20.542,118.322,738.396,0.117
50,3,23,198.127,174.258,0,49.548,4.002,20.250,116.797,732.333,0.202
51,3,24,193.979,174.778,0,49.612,4.021,20.170,115.211,716.980,0.110
52,3,25,190.725,174.651,0,49.733,4.007,20.015,113.550,699.875,0.151
53,3,26,187.552,173.061,0,49.558,4.108,20.645,116.883,716.388,0.101
54,3,27,185.128,173.576,0,49.622,4.002,20.145,115.651,722.944,0.134
55,3,28,181.060,174.299,0,49.498,3.989,20.113,115.845,726.915,0.152
56,3,29,177.855,174.469,0,49.509,3.992,19.985,113.902,705.964,0.130
57,3,30,174.616,174.698,0,49.809,4.013,20.017,113.238,695.341,0.158
58,3,31,171.254,173.593,0,49.766,4.050,20.533,118.048,735.664,0.117
59,3,32,168.122,175.141,0,49.394,3.993,20.178,116.266,728.448,0.145
60,3,33,165.674,174.516,0,49.640,3.995,20.021,114.048,705.307,0.105
61,3,34,162.430,174.639,0,49.695,3.998,20.013,113.896,704.005,0.179
62,3,35,158.394,175.670,0,49.560,3.978,19.979,113.839,702.176,0.210
63,3,36,155.941,175.052,0,49.466,4.017,20.503,119.385,755.739,0.157
64,3,37,152.691,175.124,0,49.451,3.998,20.177,115.712,719.338,0.135
65,3,38,148.555,174.595,0,49.726,4.047,20.473,117.421,729.895,0.227
66,3,39,145.351,176.002,0,49.387,4.018,20.273,115.823,715.930,0.194
67,3,40,142.098,175.984,0,49.311,4.050,20.278,115.434,716.269,0.120
68,3,41,139.691,175.297,0,49.568,3.997,20.114,115.059,713.977,0.103
69,3,42,135.594,176.063,0,49.544,4.037,20.364,116.064,715.058,0.219
70,3,43,133.177,175.420,0,49.552,3.994,20.097,115.188,717.466,0.184
71,3,44,129.130,176.317,0,49.463,3.987,20.046,114.957,717.283,0.118
72,3,45,126.722,175.677,0,49.628,4.000,20.001,113.665,701.709,0.190
73,3,46,122.576,176.445,0,49.925,4.001,20.035,113.905,702.607,0.176
74,3,47,119.380,176.572,0,49.725,3.972,19.940,113.652,701.543,0.100
75,3,48,116.977,176.087,0,49.687,4.056,20.510,118.456,748.213,0.132
76,3,49,112.848,175.939,0,49.699,4.063,20.857,121.834,772.430,0.101
77,3,50,110.532,176.917,0,49.552,3.999,20.251,116.583,727.421,0.116
78,3,51,107.316,177.491,0,49.261,3.985,19.965,113.833,704.968,0.121
79,3,52,104.219,178.320,0,49.188,3.952,19.717,111.980,690.376,0.142
80,3,53,100.122,178.980,0,49.595,4.057,20.790,121.217,767.272,0.197
81,3,54,97.032,179.991,0,49.652,4.062,20.940,122.983,784.151,0.100
82,3,55,93.935,180.874,0,49.841,4.052,20.773,121.277,768.818,0.100
83,3,56,91.770,182.015,0,49.226,3.986,20.158,116.210,727.778,0.112
84,3,57,88.595,182.781,0,48.901,3.994,19.900,112.706,693.908,0.114
85,3,58,84.665,184.253,0,49.604,3.981,20.035,114.597,710.600,0.197
86,3,59,81.409,184.667,0,49.257,3.978,19.989,114.017,704.281,0.113
87,3,60,78.180,185.027,0,49.404,4.002,20.217,116.115,723.762,0.119
88,3,61,74.943,185.404,0,49.698,3.972,20.116,116.525,735.146,0.244
89,3,62,71.745,185.812,0,49.761,4.024,20.022,112.924,691.690,0.100
90,3,63,68.495,186.252,0,49.571,3.984,20.041,114.509,708.835,0.177
91,3,64,65.287,186.650,0,49.435,3.984,19.835,112.380,692.577,0.100
92,3,65,61.899,185.639,0,49.639,4.056,20.663,119.784,754.951,0.100
93,3,66,58.917,187.543,0,49.240,3.967,20.075,116.233,733.221,0.113
94,3,67,55.790,188.260,0,49.404,3.965,19.912,113.816,706.108,0.104
95,3,68,52.315,187.793,0,49.525,4.039,20.525,118.408,740.428,0.172
96,3,69,49.512,189.976,0,49.082,3.970,19.976,114.473,712.039,0.106
97,3,70,46.024,189.249,0,49.713,4.093,20.798,120.125,755.640,0.113
98,3,71,43.162,191.332,0,49.480,3.975,19.897,113.412,702.638,0.102
99,3,72,39.973,192.028,0,49.453,3.987,20.234,117.448,743.010,0.124
100,3,73,36.801,192.792,0,49.004,3.991,20.017,113.824,701.030,0.094
101,3,74,34.336,192.650,0,49.040,3.975,19.794,112.168,691.089,0.106
102,3,75,30.199,193.163,0,49.424,4.095,20.640,117.436,723.861,0.175
103,3,76,28.113,194.461,0,48.989,3.962,19.831,113.182,702.428,0.100
104,3,77,24.441,196.438,0,49.005,3.959,19.657,111.059,681.773,0.101
105,3,78,21.935,196.528,0,48.804,3.970,19.987,115.029,721.239,0.104
106,3,79,17.874,197.300,0,49.569,4.075,20.635,118.564,740.408,0.109
107,3,80,15.151,199.499,0,49.471,3.953,19.797,112.879,698.761,0.107
108,3,81,11.693,199.292,0,49.446,4.073,20.559,117.499,728.685,0.191
109,4,0,263.481,189.452,0,49.199,3.995,20.028,114.183,706.652,0.208
110,4,1,261.281,190.792,0,49.630,4.000,19.903,112.583,692.785,0.193
111,4,2,258.115,191.296,0,49.272,3.979,19.988,114.528,714.066,0.310
112,4,3,255.594,190.801,0,49.586,4.011,20.057,113.929,703.019,0.181
113,4,4,251.603,192.005,0,49.676,4.001,20.222,116.194,723.807,0.241
114,4,5,249.126,191.568,0,49.312,3.995,20.103,115.388,720.900,0.202
115,4,6,245.907,191.960,0,49.746,4.031,20.393,118.109,748.507,0.101
116,4,7,241.897,193.138,0,49.549,3.992,20.171,116.152,727.129,0.183
117,4,8,238.581,193.290,0,49.742,4.000,20.088,114.588,708.888,0.223
118,4,9,235.328,193.406,0,49.671,3.972,19.962,114.021,705.796,0.235
119,4,10,232.933,192.701,0,49.651,4.016,20.315,117.610,743.833,0.104
120,4,11,228.833,191.968,0,49.646,4.136,20.812,117.990,725.559,0.100
121,4,12,231.181,192.465,0,49.621,4.005,20.158,115.512,719.623,0.191
122,4,13,234.424,192.639,0,49.659,3.999,20.095,114.717,710.109,0.237
123,4,14,237.668,192.790,0,49.598,3.996,20.144,115.448,717.608,0.243
124,4,15,241.759,191.992,0,49.393,4.019,20.330,116.670,725.414,0.104
125,4,16,244.970,191.835,0,49.360,4.001,20.286,117.556,742.516,0.144
126,4,17,248.196,191.585,0,49.709,3.969,19.931,113.867,705.905,0.100
127,4,18,251.317,191.086,0,49.608,4.004,20.302,117.201,734.204,0.120
128,4,19,254.579,190.596,0,49.400,3.969,19.926,113.660,702.350,0.202
129,4,20,257.829,190.270,0,49.494,3.973,20.023,114.942,716.578,0.166
130,4,21,260.290,190.810,0,49.552,3.992,20.105,115.114,714.964,0.180
131,4,22,264.397,189.913,0,49.624,4.083,20.382,114.854,701.984,0.116
132,4,23,267.629,191.435,0,49.455,4.041,20.430,117.052,726.613,0.136
133,4,24,270.850,191.768,0,49.209,4.080,20.657,118.449,737.146,0.110
134,4,25,274.040,192.200,0,49.490,4.037,20.550,119.331,754.249,0.100
135,4,26,277.402,191.226,0,49.667,4.000,20.138,114.875,709.205,0.118
136,4,27,279.728,192.213,0,49.817,4.008,20.056,114.211,707.657,0.118
137,4,28,282.947,192.584,0,49.442,4.001,20.218,116.640,732.988,0.150
138,4,29,286.180,192.965,0,49.790,4.063,20.459,116.956,727.138,0.101
139,4,30,290.344,192.671,0,49.486,3.997,20.053,114.335,707.338,0.127
140,4,31,293.582,192.995,0,49.682,4.062,20.258,114.203,698.770,0.159
141,4,32,296.762,193.116,0,49.539,4.031,20.101,113.762,700.237,0.158
142,4,33,299.124,193.959,0,49.591,4.063,20.452,116.879,726.631,0.193
143,4,34,303.279,193.422,0,49.641,3.998,19.969,113.357,699.032,0.180
144,4,35,306.559,193.735,0,49.653,3.986,20.078,114.865,711.858,0.170
145,4,36,309.780,193.993,0,49.800,4.028,20.378,116.840,725.384,0.111
146,4,37,312.076,194.903,0,49.622,4.086,20.733,120.059,760.238,0.141
147,4,38,315.333,194.938,0,49.486,4.060,20.330,115.312,710.279,0.226
148,4,39,319.428,194.085,0,49.643,4.045,20.161,113.656,695.058,0.175
149,4,40,322.669,194.067,0,49.413,4.033,20.072,113.222,693.933,0.120
150,4,41,325.079,194.845,0,49.515,4.016,20.478,119.298,756.635,0.100
151,4,42,328.336,194.929,0,49.595,4.067,20.402,115.950,715.777,0.199
152,4,43,331.597,195.082,0,49.759,4.026,20.133,114.308,705.330,0.174
153,4,44,335.630,196.081,0,49.476,4.030,20.499,118.450,741.765,0.231
154,4,45,338.969,195.000,0,49.835,4.029,20.497,118.566,744.492,0.113
155,4,46,342.115,196.596,0,49.306,4.072,20.578,117.919,734.181,0.146
156,4,47,344.554,196.097,0,49.747,4.010,20.334,117.019,728.855,0.103
157,4,48,348.638,196.814,0,49.557,4.086,20.586,117.064,720.885,0.132
158,4,49,351.035,196.209,0,49.600,4.024,20.337,117.539,742.092,0.110
159,4,50,355.104,195.390,0,49.968,3.983,20.041,114.735,713.323,0.101
160,4,51,358.344,195.227,0,49.759,4.024,20.069,113.436,695.871,0.111
161,4,52,361.676,196.366,0,49.781,4.047,20.523,117.998,735.151,0.117
162,4,53,364.916,196.231,0,49.617,4.061,20.859,122.411,782.915,0.197
163,4,54,368.116,194.908,0,49.417,4.002,20.248,116.737,731.391,0.130
164,4,55,371.411,195.034,0,49.774,4.025,20.293,115.725,713.840,0.146
165,4,56,374.695,195.398,0,49.679,3.983,20.047,114.588,709.507,0.122
166,4,57,377.953,196.074,0,49.648,4.028,20.534,119.399,755.156,0.111
167,4,58,381.098,196.693,0,49.429,4.017,20.375,118.216,748.814,0.100
168,4,59,383.361,197.876,0,49.805,4.011,20.314,116.865,728.495,0.104
169,4,60,387.296,199.207,0,49.447,4.032,20.494,118.501,743.751,0.145
170,4,61,390.734,198.411,0,49.772,3.988,20.096,115.005,713.012,0.200
171,4,62,393.901,198.807,0,49.402,4.009,20.369,118.217,747.388,0.326
172,4,63,397.144,199.378,0,49.756,3.998,20.173,115.674,719.773,0.148
173,4,64,400.337,199.841,0,49.766,3.993,20.116,115.124,714.221,0.175
174,4,65,402.625,200.903,0,49.626,3.991,20.101,115.035,713.469,0.203
175,4,66,406.746,200.561,0,49.376,3.983,19.905,113.200,699.709,0.192
176,4,67,409.048,201.655,0,49.473,4.015,20.395,118.440,749.867,0.139
177,4,68,413.062,202.818,0,49.261,4.110,20.709,117.963,729.838,0.095
178,4,69,416.237,203.332,0,49.494,4.035,20.430,117.530,733.945,0.118
179,5,0,307.898,222.565,0,49.321,4.009,19.939,112.541,690.162,0.196
180,5,1,306.384,225.442,0,49.104,3.969,19.815,112.488,692.846,0.114
181,5,2,304.775,228.250,0,49.162,3.975,19.817,112.478,694.270,0.302
182,5,3,303.233,231.118,0,49.189,3.980,20.057,115.105,717.028,0.277
183,5,4,300.859,234.520,0,48.416,3.986,20.024,114.356,708.446,0.100
184,5,5,300.592,238.010,0,49.278,3.979,20.047,114.935,714.955,0.212
185,5,6,297.912,240.311,0,48.387,4.085,20.303,113.504,687.085,0.100
186,5,7,296.460,243.235,0,48.710,4.020,20.010,112.747,689.232,0.100
187,5,8,296.125,245.708,0,49.481,3.975,19.975,114.325,710.737,0.271
188,5,9,295.272,249.749,0,49.184,3.957,19.715,112.013,692.404,0.103
189,5,10,292.807,252.310,0,48.878,4.009,20.180,115.482,717.719,0.100
190,5,11,292.861,255.796,0,49.373,4.002,20.149,114.995,710.306,0.195
191,5,12,290.573,258.457,0,48.911,4.014,20.151,114.777,709.153,0.100
192,5,13,289.589,261.562,0,49.055,4.007,20.119,114.636,708.384,0.093
193,5,14,289.961,265.012,0,49.509,4.004,20.383,118.719,753.666,0.105
194,5,15,288.900,268.124,0,49.580,4.009,20.253,116.316,725.415,0.136
195,5,16,287.859,271.198,0,49.526,3.995,20.112,114.983,713.162,0.211
196,5,17,285.677,273.778,0,47.909,3.931,19.378,108.150,652.707,0.100
197,5,18,284.984,276.783,0,46.402,3.878,18.970,105.404,634.755,0.100
198,5,19,284.359,277.804,0,48.995,3.971,19.857,112.598,691.226,0.109
199,5,20,284.540,277.709,0,46.443,3.914,19.147,106.305,640.410,0.100
200,5,21,284.509,277.830,0,45.106,3.816,18.427,101.645,610.878,0.100
201,5,22,284.857,278.904,0,48.575,4.164,22.473,141.412,985.510,0.100
202,5,23,283.013,278.219,0,48.447,3.932,19.675,112.457,699.331,0.103
203,5,24,283.492,276.235,0,47.268,3.851,18.746,103.752,622.625,0.100
204,5,25,282.834,276.818,0,47.031,3.852,18.786,104.476,632.087,0.110
205,5,26,283.677,277.339,0,46.857,3.817,18.420,101.093,601.892,0.100
206,5,27,281.855,276.278,0,48.119,3.903,19.182,107.068,647.683,0.100
207,5,28,281.800,275.198,0,48.420,3.927,19.441,109.337,666.661,0.100
208,5,29,282.089,274.166,0,48.618,3.953,19.727,112.084,691.899,0.126
209,5,30,283.026,274.592,0,49.026,3.979,19.972,114.432,714.271,0.102
210,5,31,279.238,276.398,0,49.156,3.977,19.885,113.143,699.411,0.149
211,5,32,276.225,277.434,0,48.785,3.962,19.751,112.168,692.465,0.105
212,5,33,272.651,276.862,0,49.749,4.043,20.598,119.182,747.499,0.112
213,5,34,270.417,277.910,0,49.290,3.991,20.175,115.978,722.491,0.172
214,5,35,267.198,278.458,0,49.310,3.986,20.030,114.668,713.600,0.108
215,5,36,263.349,279.979,0,49.415,4.024,20.028,113.155,695.487,0.118
216,5,37,260.828,279.696,0,49.314,4.007,20.027,113.739,701.948,0.232
217,5,38,256.914,281.044,0,49.485,4.051,20.446,117.958,744.820,0.205
218,5,39,253.476,280.051,0,49.531,4.117,20.743,117.736,723.479,0.111
219,5,40,250.209,280.387,0,49.659,4.063,20.524,117.379,727.721,0.149
220,5,41,247.260,282.279,0,49.323,3.971,19.860,113.071,699.299,0.101
221,5,42,243.810,281.229,0,49.563,4.095,20.682,118.211,733.740,0.188
222,5,43,240.652,282.672,0,49.810,3.988,20.034,114.092,703.287,0.158
223,5,44,238.199,281.924,0,49.600,4.012,20.403,117.972,739.362,0.165
224,5,45,234.079,282.570,0,49.736,3.979,20.124,116.050,727.098,0.156
225,5,46,230.851,282.472,0,49.852,3.981,20.050,114.906,714.992,0.176
226,5,47,227.640,280.909,0,49.705,4.042,20.598,119.244,748.202,0.103
227,5,48,224.378,282.295,0,49.647,3.983,19.946,113.548,701.433,0.100
228,5,49,221.170,280.645,0,49.447,4.036,20.490,118.206,740.257,0.154
229,5,50,218.744,280.935,0,49.936,4.045,20.335,116.058,719.834,0.101
230,5,51,214.756,279.757,0,49.541,4.033,20.463,118.093,739.867,0.111
231,5,52,211.316,280.490,0,49.829,3.981,20.038,114.554,709.537,0.118
232,5,53,208.139,279.893,0,49.577,4.008,20.255,116.218,722.630,0.140
233,5,54,204.986,279.157,0,49.574,4.006,20.308,117.658,743.115,0.182
234,5,55,202.795,277.893,0,49.655,4.037,20.333,116.392,724.373,0.146
235,5,56,199.617,277.139,0,49.702,4.003,20.230,116.150,722.609,0.120
236,5,57,195.467,276.799,0,49.244,3.997,19.815,111.458,681.137,0.131
237,5,58,192.299,276.019,0,49.716,4.053,20.160,113.454,693.515,0.129
238,5,59,189.178,275.301,0,49.784,3.976,20.057,115.239,718.640,0.114
239,5,60,185.989,274.623,0,49.709,3.998,20.265,116.981,733.194,0.109
240,5,61,183.179,272.433,0,49.080,4.021,20.246,115.703,717.760,0.100
241,5,62,179.713,272.886,0,49.349,4.027,20.097,113.769,699.816,0.110
242,5,63,176.537,272.073,0,49.444,4.059,20.215,113.840,696.060,0.189
243,5,64,173.743,269.865,0,49.007,4.030,20.473,118.421,744.266,0.100
244,5,65,170.307,270.023,0,49.611,3.985,20.086,115.237,717.636,0.203
245,5,66,167.245,268.976,0,49.585,3.993,20.152,115.806,722.627,0.232
246,5,67,164.177,267.931,0,49.548,4.006,20.297,117.202,735.552,0.164
247,5,68,162.155,266.406,0,49.641,3.983,19.965,114.087,709.491,0.091
248,5,69,158.050,265.868,0,49.470,4.041,20.155,114.050,702.198,0.130
249,5,70,154.945,264.920,0,49.804,4.032,20.617,120.414,765.913,0.115
250,5,71,152.247,262.574,0,49.013,4.010,20.192,115.443,715.860,0.100
251,5,72,149.195,261.498,0,48.861,4.011,20.187,115.366,715.291,0.114
252,5,73,146.178,260.304,0,48.826,4.019,20.202,115.254,713.871,0.094
253,5,74,143.069,259.264,0,48.835,4.091,20.514,116.352,717.309,0.091
254,5,75,140.567,259.192,0,49.511,3.994,20.124,115.239,715.244,0.140
255,5,76,137.420,258.333,0,49.417,3.980,19.941,113.651,703.004,0.149
256,5,77,133.313,257.669,0,49.304,3.984,19.730,110.930,677.585,0.108
257,5,78,130.278,256.609,0,49.479,3.987,19.800,111.688,684.650,0.110
258,5,79,127.196,255.795,0,49.674,4.015,19.971,112.734,691.723,0.157
259,5,80,124.075,254.913,0,49.637,4.002,20.350,118.217,747.379,0.130
260,5,81,120.941,254.075,0,49.632,4.012,20.418,118.851,754.336,0.175
261,5,82,118.162,251.827,0,49.139,4.025,20.431,117.772,736.050,0.112
262,5,83,115.689,251.795,0,49.644,4.032,20.291,116.031,720.833,0.167
263,5,84,111.984,249.904,0,48.887,4.039,20.561,119.515,757.304,0.101
264,5,85,109.481,249.762,0,49.532,4.012,20.064,113.970,703.168,0.100
265,5,86,106.440,248.575,0,49.388,3.982,19.866,112.709,694.540,0.100
266,5,87,103.464,247.301,0,49.261,3.969,19.844,112.849,696.466,0.122
267,5,88,100.480,246.017,0,49.291,4.031,20.104,113.696,698.706,0.108
268,5,89,97.463,244.794,0,49.325,4.002,19.967,113.175,697.029,0.167
269,5,90,93.775,242.884,0,48.966,4.030,20.471,118.470,745.366,0.100
270,5,91,90.277,243.390,0,49.499,3.967,19.947,114.117,707.998,0.100
271,5,92,87.156,242.400,0,49.632,3.985,20.142,115.889,723.555,0.260
272,5,93,84.431,240.132,0,49.208,4.056,20.282,114.590,701.789,0.152
273,5,94,81.992,240.073,0,49.610,4.006,20.399,118.790,753.841,0.200
274,5,95,77.840,239.452,0,49.670,3.991,20.119,115.288,716.386,0.100
275,5,96,75.233,236.994,0,48.945,4.009,20.332,117.264,733.164,0.092
276,5,97,71.746,237.183,0,49.791,3.986,20.064,114.821,712.734,0.139
277,5,98,68.668,236.206,0,49.304,3.984,20.004,114.262,708.257,0.100
278,5,99,65.559,235.216,0,49.698,3.979,20.007,114.322,708.022,0.157
279,5,100,62.449,234.352,0,49.291,3.976,19.848,112.688,694.745,0.112
280,5,101,59.330,233.510,0,49.484,3.972,19.956,113.940,705.020,0.100
281,5,102,56.212,232.628,0,49.559,3.984,20.064,114.786,711.647,0.224
282,5,103,53.101,231.685,0,49.558,4.013,20.021,113.556,700.881,0.100
283,5,104,50.355,229.383,0,48.990,4.017,20.117,114.212,703.374,0.212
284,5,105,46.890,229.776,0,49.587,4.006,20.236,116.143,723.368,0.111
285,5,106,44.754,228.432,0,49.533,4.010,20.226,116.007,722.234,0.113
286,5,107,40.913,226.817,0,49.063,4.042,20.574,119.339,752.985,0.111
287,5,108,37.734,226.131,0,49.073,4.101,20.593,116.610,715.370,0.111
288,5,109,34.253,226.804,0,49.704,4.012,19.958,112.690,691.692,0.113
289,5,110,32.092,225.673,0,49.568,4.005,20.120,115.319,720.495,0.215
290,5,111,28.102,224.441,0,49.311,4.053,20.544,118.218,738.877,0.111
291,5,112,25.651,224.740,0,49.927,4.021,20.190,115.158,713.255,0.111
292,5,113,21.459,224.811,0,49.482,3.994,20.079,114.424,705.768,0.133
293,5,114,18.273,224.252,0,49.489,3.986,19.998,114.172,707.803,0.123
294,5,115,15.209,222.630,0,49.432,4.037,20.472,117.918,737.009,0.129
295,5,116,11.959,222.346,0,49.291,4.073,20.762,120.278,757.781,0.139
296,6,0,222.116,279.584,0,49.496,4.000,20.183,115.956,723.705,0.150
297,6,1,226.256,280.039,0,49.277,4.033,20.134,113.990,701.563,0.276
298,6,2,229.381,281.255,0,49.452,3.984,20.013,114.096,704.848,0.167
299,6,3,232.411,282.413,0,49.439,3.974,19.931,113.452,699.518,0.195
300,6,4,234.955,284.912,0,48.814,4.032,20.643,121.138,776.608,0.100
301,6,5,237.459,285.053,0,49.397,4.009,20.321,116.959,728.786,0.113
302,6,6,241.534,285.808,0,49.116,3.953,19.701,111.820,689.357,0.178
303,6,7,244.571,286.837,0,49.171,3.959,19.780,112.568,695.713,0.100
304,6,8,247.701,287.692,0,49.417,3.973,19.850,112.905,697.854,0.154
305,6,9,250.827,288.338,0,49.685,3.989,20.114,115.211,715.133,0.262
306,6,10,253.949,288.781,0,49.399,4.008,20.323,117.649,741.560,0.110
307,6,11,257.169,289.318,0,49.612,4.008,20.059,114.145,706.297,0.202
308,6,12,260.387,289.757,0,49.523,4.000,20.120,114.970,712.547,0.212
309,6,13,263.604,290.123,0,49.614,4.007,20.193,115.274,712.034,0.201
310,6,14,266.799,290.347,0,49.609,3.991,19.899,112.937,697.669,0.102
311,6,15,269.136,291.330,0,49.729,4.017,20.242,116.119,724.418,0.169
312,6,16,273.287,291.051,0,49.669,4.018,20.245,115.507,713.531,0.219
313,6,17,276.473,291.258,0,48.965,4.018,20.026,113.137,693.499,0.130
314,6,18,279.822,292.502,0,48.674,4.224,22.580,139.499,953.827,0.100
315,6,19,282.070,292.403,0,49.377,4.027,20.432,118.520,750.394,0.101
316,6,20,286.147,293.685,0,47.960,4.158,21.476,127.508,837.383,0.100
317,6,21,286.306,291.281,0,52.700,4.606,27.387,186.622,1382.792,0.100
318,6,22,286.442,294.442,0,46.559,3.883,18.811,103.538,619.253,0.100
319,6,23,287.008,294.129,0,49.008,3.993,20.246,117.082,735.956,0.100
320,6,24,286.502,292.976,0,48.055,4.010,19.827,111.210,678.512,0.100
321,6,25,287.317,294.722,0,47.058,3.924,18.997,103.922,615.992,0.110
322,6,26,286.921,293.659,0,48.088,4.029,20.563,119.775,759.686,0.100
323,6,27,286.803,294.200,0,48.636,3.953,19.778,112.832,699.751,0.106
324,6,28,285.009,294.545,0,47.111,3.956,19.343,106.943,641.212,0.100
325,6,29,286.172,294.439,0,47.488,3.925,19.422,109.228,666.102,0.100
326,6,30,285.760,295.066,0,48.722,4.010,20.331,117.321,734.480,0.100
327,6,31,286.942,295.706,0,49.392,4.017,19.853,111.013,673.846,0.134
328,6,32,286.948,296.421,0,49.397,4.033,19.996,111.989,679.785,0.140
329,6,33,285.405,299.611,0,49.361,4.060,20.489,116.969,723.282,0.215
330,6,34,286.386,302.929,0,49.377,3.995,20.100,115.389,721.401,0.175
331,6,35,286.171,306.121,0,49.829,4.002,20.239,116.550,729.083,0.106
332,6,36,286.102,309.350,0,49.664,4.007,20.215,115.773,718.526,0.159
333,6,37,284.826,312.628,0,49.637,4.042,20.568,118.800,743.367,0.176
334,6,38,286.313,315.813,0,49.503,3.976,20.032,114.906,715.349,0.114
335,6,39,285.604,318.224,0,49.718,4.001,20.059,114.397,709.037,0.162
336,6,40,286.386,322.339,0,49.881,3.998,20.044,114.151,705.497,0.111
337,6,41,286.467,325.567,0,49.799,3.991,19.941,113.174,697.160,0.105
338,6,42,285.197,328.847,0,49.519,4.092,20.717,118.676,737.489,0.186
339,6,43,286.627,332.032,0,49.543,4.007,20.182,116.188,730.277,0.180
340,6,44,286.822,335.263,0,49.674,4.009,20.179,115.054,710.035,0.180
341,6,45,286.847,338.571,0,49.540,4.024,20.039,113.074,692.739,0.174
342,6,46,285.735,341.855,0,49.656,4.050,20.641,119.504,750.652,0.122
343,6,47,285.922,345.100,0,49.510,4.073,21.012,123.576,790.401,0.100
344,6,48,286.345,348.271,0,48.982,4.027,20.107,113.663,696.909,0.104
345,6,49,288.117,351.136,0,47.332,3.904,19.284,108.446,662.036,0.100
346,6,50,288.685,354.012,0,44.760,3.771,18.299,102.377,627.448,0.100
347,7,0,371.411,382.340,0,49.436,3.991,20.052,114.608,711.029,0.165
348,7,1,370.761,386.453,0,49.385,3.981,19.965,113.573,699.702,0.173
